Id,Source,Target,Weight
1291,308,216,5
1292,216,308,5
1293,18,216,13
1294,216,18,13
1295,309,216,8
1296,216,309,8
1297,21,216,11
1298,216,21,11
1299,22,216,4
1300,216,22,4
1301,25,216,4
1302,216,25,4
1303,128,216,4
1304,216,128,4
1305,129,216,2
1306,216,129,2
1307,131,216,3
1308,216,131,3
1309,132,216,8
1310,216,132,8
1311,134,216,2
1312,216,134,2
1313,263,216,3
1314,216,263,3
1315,264,216,3
1316,216,264,3
1317,310,216,3
1318,265,216,6
1319,216,265,6
1320,135,216,4
1321,216,135,4
1322,223,216,5
1323,216,223,5
1324,311,216,6
1325,216,311,6
1326,266,216,5
1327,216,266,5
1328,267,216,5
1329,216,267,5
1330,139,216,7
1331,216,139,7
1332,44,216,8
1333,216,44,8
1334,312,216,14
1335,216,312,14
1336,313,216,3
1337,216,313,3
1338,140,216,8
1339,216,140,8
1340,142,216,8
1341,216,142,8
1342,67,216,8
1343,216,67,8
1344,143,216,19
1345,216,143,19
1346,314,216,5
1347,216,314,5
1348,145,216,2
1349,216,145,2
1350,315,216,3
1351,216,315,3
1352,316,216,5
1353,216,316,5
1354,28,216,3
1355,216,28,3
1356,224,216,12
1357,216,224,12
1358,276,216,3
1359,216,276,3
1360,149,216,8
1361,216,149,8
1362,151,216,1
1363,216,151,1
1364,78,216,9
1365,216,78,9
1366,152,216,4
1367,216,152,4
1368,153,216,5
1369,216,153,5
1370,279,216,2
1371,216,279,2
1372,154,216,8
1373,216,154,8
1374,156,216,10
1375,216,156,10
1376,225,216,2
1377,216,225,2
1378,68,216,6
1379,216,68,6
1380,280,216,3
1381,216,280,3
1382,317,216,5
1383,216,317,5
1384,282,216,8
1385,216,282,8
1386,157,216,10
1387,216,157,10
1388,283,216,4
1389,216,283,4
1390,158,216,3
1391,216,158,3
1392,318,216,4
1393,216,318,4
1394,285,216,2
1395,168,216,3
1396,216,168,3
1397,30,216,10
1398,216,30,10
1399,177,216,6
1400,216,177,6
1401,319,216,2
1402,216,319,2
1403,179,216,14
1404,216,179,14
1405,1,190,4
1406,190,1,6
1407,215,190,1
1408,190,215,1
1409,320,190,1
1410,3,190,2
1411,321,190,1
1412,322,190,6
1413,91,190,8
1414,190,91,4
1415,323,190,1
1416,95,190,3
1417,96,190,4
1418,190,96,6
1419,241,190,1
1420,190,241,1
1421,99,190,2
1422,190,99,6
1423,100,190,7
1424,190,100,12
1425,101,190,4
1426,102,190,1
1427,190,102,4
1428,36,190,5
1429,190,36,6
1430,103,190,5
1431,190,103,5
1432,438,190,4
1433,190,438,5
1434,106,190,5
1435,190,106,5
1436,76,190,4
1437,190,76,6
1438,563,190,4
1439,190,563,4
1440,108,190,9
1441,190,108,9
1442,7,190,5
1443,190,7,6
1444,110,190,8
1445,190,110,9
1446,251,190,2
1447,8,190,6
1448,66,190,1
1449,9,190,2
1450,190,9,5
1451,257,190,6
1452,190,257,4
1453,120,190,5
1454,190,120,6
1455,40,190,17
1456,190,40,18
1457,12,190,5
1458,190,12,6
1459,259,190,5
1460,190,259,6
1461,16,190,2
1462,190,16,1
1463,309,190,6
1464,190,309,6
1465,24,190,4
1466,190,24,6
1467,325,190,5
1468,326,190,1
1469,327,190,2
1470,190,327,3
1471,328,190,1
1472,137,190,14
1473,138,190,2
1474,366,190,6
1475,190,366,6
1476,44,190,6
