Id,City,Country,Label,Name,latitude,longitude
340,Vaxjo,SWEDEN,VXO,Vaxjo Smaland Airport,56.929138,14.727990
341,Weeze,GERMANY,NRN,Weeze Airport,51.602409,6.142172
342,Kaunas,LITHUANIA,KUN,Kaunas Airport,54.963909,24.084770
343,Rzeszow,POLAND,RZE,Rzeszow Jasionka Airport,50.109951,22.018999
344,Paris,FRANCE,BVA,Paris Beauvais-Tille Airport,49.454441,2.112778
345,Karlsruhe/Baden-Baden,GERMANY,FKB,Karlsruhe/Baden-Baden Airport,48.779350,8.080500
346,Castellon,SPAIN,CDT,Castellon Costa Azahar Airport,40.209721,0.069722
347,Liverpool,UNITED KINGDOM,LPL,Liverpool John Lennon Airport,53.333611,-2.849720
348,Constanta,ROMANIA,CND,Constanta International Airport,44.362221,28.488331
349,Osijek,CROATIA,OSI,Osijek Airport,45.462662,18.810150
350,Deauville,FRANCE,DOL,Deauville Saint Gatien Airport,49.363331,0.160000
351,Bergen,NORWAY,BGO,Bergen Flesland Airport,60.293381,5.218142
352,Trondheim,NORWAY,TRD,Trondheim Vaernes Airport,63.457550,10.924250
353,Belfast,UNITED KINGDOM,BFS,Belfast International Airport,54.657501,-6.215830
354,Doncaster,UNITED KINGDOM,DSA,Doncaster Sheffield Airport,53.474720,-1.004440
355,Humberside,UNITED KINGDOM,HUY,Humberside Airport,53.574440,-0.350830
356,Leeds,UNITED KINGDOM,LBA,Leeds Bradford Airport,53.865891,-1.660560
357,Stavanger,NORWAY,SVG,Stavanger Sola Airport,58.876770,5.637856
358,Antwerp,BELGIUM,ANR,Antwerp International Airport,51.189442,4.460278
359,Rijeka,CROATIA,RJK,Rijeka Airport,45.216881,14.570260
360,Lille,FRANCE,LIL,Lille Airport,50.563332,3.086944
361,Mostar,BOSNIA AND HERZEGOVINA,OMO,Mostar International Airport,43.282902,17.845869
362,Bahrain,BAHRAIN,BAH,Bahrain International Airport,26.270830,50.633610
363,Kutaisi,GEORGIA,KUT,Kutaisi International Airport,42.169998,42.480000
364,Alexandroupolis,GREECE,AXD,Alexandroupolis International Airport,40.855862,25.956261
365,Ioannina,GREECE,IOA,Ioannina National Airport,39.696381,20.822500
366,Katowice,POLAND,KTW,Katowice International Airport,50.474251,19.080009
367,Karlstad,SWEDEN,KSD,Karlstad Airport,59.444710,13.337360
368,Lulea,SWEDEN,LLA,Lulea Airport,65.543747,22.121981
369,Cardiff,UNITED KINGDOM,CWL,Cardiff Airport,51.396469,-3.337530
370,Exeter,UNITED KINGDOM,EXT,Exeter International Airport,50.734440,-3.413880
371,Aarhus,DENMARK,AAR,Aarhus Airport,56.300011,10.619000
372,Dresden,GERMANY,DRS,Dresden Airport,51.132759,13.767160
373,Bournemouth,UNITED KINGDOM,BOH,Bournemouth Airport,50.779999,-1.842500
374,Norwich,UNITED KINGDOM,NWI,Norwich International Airport,52.675831,1.282778
375,Chengdu,CHINA,CTU,Chengdu Shuangliu International Airport,30.578520,103.946999
376,Xi'an,CHINA,XIY,Xi'an Xianyang International Airport,34.447109,108.751503
377,Karlovy Vary,CZECH REPUBLIC,KLV,Karlovy Vary Airport,50.202969,12.914980
378,Kunovice,CZECH REPUBLIC,UHE,Kunovice Airport,49.029400,17.439699
379,Ostrava,CZECH REPUBLIC,OSR,Ostrava Leos Janacek Airport,49.696289,18.111050
380,Trapani,ITALY,TPS,Trapani Birgi Airport,37.911400,12.487960
381,Philadelphia,UNITED STATES,PHL,Philadelphia International Airport,39.871941,-75.241096
382,Ronne,DENMARK,RNN,Bornholm Airport,55.063259,14.759550
383,Aalborg,DENMARK,AAL,Aalborg Airport,57.092781,9.849164
384,Esbjerg,DENMARK,EBJ,Esbjerg Airport,55.525940,8.553403
385,Vagar,FAROE ISLANDS,FAE,Vagar Airport,62.063622,-7.277210
386,Preveza,GREECE,PVK,Aktion National Airport,38.925461,20.765310
387,Poznan,POLAND,POZ,Poznan Lawica Airport,52.421028,16.826321
388,Porto Santo,PORTUGAL,PXO,Porto Santo Airport,33.073380,-16.349899
389,Karup,DENMARK,KRP,Karup Midtjyllands Airport,56.297451,9.124628
390,Sonderborg,DENMARK,SGD,Sonderborg Airport,54.964359,9.791731
391,Kangerlussuaq,GREENLAND,SFJ,Kangerlussuaq Airport,67.016960,-50.689301
392,Palanga,LITHUANIA,PLQ,Palanga International Airport,55.973221,21.093849
393,Groningen,NETHERLANDS,GRQ,Groningen Airport Eelde,53.119720,6.579444
394,Kristiansand,NORWAY,KRS,Kristiansand Kjevik Airport,58.204208,8.085369
395,Oslo,NORWAY,TRF,Oslo Sandefjord Airport,59.186699,10.258620
396,Tromso,NORWAY,TOS,Tromso Airport,69.683327,18.918909
397,Lahore,PAKISTAN,LHE,Lahore Allama Iqbal International Airport,31.521561,74.403587
398,Orebro,SWEDEN,ORB,Orebro Airport,59.223728,15.037950
399,Gazipasa,TURKEY,GZP,Gazipasa Airport,36.299000,32.299999
400,Konya,TURKEY,KYA,Konya Airport,37.979000,32.561859
401,Aberdeen,UNITED KINGDOM,ABZ,Aberdeen International Airport,57.201939,-2.197770
402,Boston,UNITED STATES,BOS,Boston Logan International Airport,42.362968,-71.006401
403,Fort Lauderdale,UNITED STATES,FLL,Fort Lauderdale Hollywood International Airport,26.072580,-80.152702
404,Oakland,UNITED STATES,OAK,Oakland International Airport,37.721272,-122.220001
405,Orlando,UNITED STATES,MCO,Orlando International Airport,28.429390,-81.308899
406,San Francisco,UNITED STATES,SFO,San Francisco International Airport,37.618969,-122.374001
407,Kardla,ESTONIA,KDL,Kardla Airport,58.990749,22.830730
408,Kuressaare,ESTONIA,URE,Kuressaare Airport,58.229881,22.509489
409,Bremen,GERMANY,BRE,Bremen Airport,53.047501,8.786667
410,Chongqing,CHINA,CKG,Chongqing Jiangbei International Airport,29.719210,106.641602
411,Nanjing,CHINA,NKG,Nanjing Lukou International Airport,31.742041,118.862000
412,Tartu,ESTONIA,TAY,Tartu Airport,58.307461,26.690420
413,Ivalo,FINLAND,IVL,Ivalo Airport,68.607262,27.405319
414,Joensuu,FINLAND,JOE,Joensuu Airport,62.662899,29.607550
415,Jyvaskyla,FINLAND,JYV,Jyvaskyla Airport,62.399448,25.678249
416,Kajaani,FINLAND,KAJ,Kajaani Airport,64.285469,27.692410
417,Kemi,FINLAND,KEM,Kemi Tornio Airport,65.781883,24.599100
418,Kokkola,FINLAND,KOK,Kokkola-Pietarsaari Airport,63.721169,23.143129
419,Kuopio,FINLAND,KUO,Kuopio Airport,63.007149,27.797750
420,Kuusamo,FINLAND,KAO,Kuusamo Airport,65.987572,29.239380
421,Mariehamn,FINLAND,MHQ,Mariehamn Airport,60.122200,19.898149
422,Oulu,FINLAND,OUL,Oulu Airport,64.929161,25.355551
423,Pori,FINLAND,POR,Pori Airport,61.461681,21.799980
424,Rovaniemi,FINLAND,RVN,Rovaniemi Airport,66.561661,25.830830
425,Savonlinna,FINLAND,SVL,Savonlinna Airport,61.943062,28.945129
426,Tampere,FINLAND,TMP,Tampere Pirkkala Airport,61.415272,23.587770
427,Turku,FINLAND,TKU,Turku Airport,60.514141,22.262800
428,Vaasa,FINLAND,VAA,Vaasa Airport,63.050652,21.762171
429,Fukuoka,JAPAN,FUK,Fukuoka Airport,33.585941,130.450607
430,Nagoya,JAPAN,NGO,Nagoya Chubu Centrair International Airport,34.858410,136.805405
431,Murmansk,RUSSIA,MMK,Murmansk Airport,68.781670,32.750820
432,Umea,SWEDEN,UME,Umea Airport,63.791821,20.282749
433,Brest,FRANCE,BES,Brest Bretagne Airport,48.447220,-4.421660
434,Caen,FRANCE,CFR,Caen Carpiquet Airport,49.173279,-0.449870
435,Limoges,FRANCE,LIG,Limoges Bellegarde Airport,45.860828,1.180278
436,Metz-Nancy,FRANCE,ETZ,Metz-Nancy-Lorraine Airport,48.978329,6.246667
437,Poitiers,FRANCE,PIS,Poitiers – Biard Airport,46.587502,0.306667
438,Rennes,FRANCE,RNS,Rennes Saint-Jacques Airport,48.071941,-1.732220
439,Setif,ALGERIA,QSF,Setif Ain Arnat Airport,36.178120,5.324494
440,Heringsdorf,GERMANY,HDF,Heringsdorf Airport,53.878250,14.138242
441,Sylt,GERMANY,GWT,Sylt Airport,54.913250,8.340472
442,Ohrid,MACEDONIA,OHD,Ohrid Airport,41.179951,20.742319
443,Nis,SERBIA,INI,Nis Constantine the Great Airport,43.337280,21.853720
444,Southampton,UNITED KINGDOM,SOU,Southampton Airport,50.950260,-1.356800
