,from_airports_list,to_airports_list,departure_delay_time_list,departure_delay_list,arrival_delay_time_list,arrival_delay_list,flight_code_list
449,ARN,HEL,-669.0,True,582.0,False,SK712
450,HEL,ISL,-28537.0,True,-26219.0,True,TK6313
451,ARN,HEL,-25371.0,True,-24534.0,True,TK6313
452,ISL,ARN,-22146.0,True,-21931.0,True,TK6313
453,HEL,ZRH,-559.0,True,489.0,False,AY1511
454,ZRH,HEL,-182.0,True,1582.0,False,AY1512
455,HEL,IST,-4667.0,True,-1885.0,True,TK1762
456,IST,HEL,-1833.0,True,-1478.0,True,TK1761
457,OUL,HEL,-764.0,True,-1541.0,True,AY436
458,OUL,HEL,878.0,False,1461.0,False,AY438
459,OUL,HEL,-1050.0,True,-1613.0,True,AY442
460,OUL,HEL,474.0,False,1194.0,False,AY446
461,OUL,HEL,-212.0,True,2.0,False,AY450
462,HEL,OUL,-806.0,True,-872.0,True,AY435
463,HEL,OUL,-81.0,True,1033.0,False,AY437
464,HEL,OUL,-931.0,True,-1226.0,True,AY441
465,HEL,OUL,-614.0,True,326.0,False,AY445
466,HEL,OUL,177.0,False,513.0,False,AY449
467,RVN,HEL,471.0,False,725.0,False,AY532
468,RVN,HEL,-66.0,True,556.0,False,AY534
469,RVN,HEL,-312.0,True,531.0,False,AY536
470,HEL,RVN,-415.0,True,880.0,False,AY531
471,HEL,RVN,-751.0,True,506.0,False,AY533
472,HEL,RVN,-747.0,True,403.0,False,AY535
473,AJA,MRS,4718.0,False,4967.0,False,XK156
474,MRS,AJA,-14.0,True,820.0,False,XK151
475,AJA,NCE,-497.0,True,128.0,False,XK102
476,FSC,NCE,273.0,False,1125.0,False,XK106
477,AJA,FSC,304.0,False,795.0,False,XK106
478,NCE,FSC,-742.0,True,73.0,False,XK101
